"[{'text': '好用👍', 'rating': 5, 'date': '2024/05/18'}]"
"[{'text': '拿來收納Steam Deck 的充電器剛剛好。', 'rating': 5, 'date': '2024/02/11'}]"
"[{'text': '適合充電或連接電腦時，充電或傳輸線可以在不用取下防震保護套的情況下使用。', 'rating': 3, 'date': '2024/10/20'}, {'text': '可以套在使用中的行動硬碟上算是唯一的特色。', 'rating': 3, 'date': '2024/01/24'}]"
"[{'text': '我買兩個 黃色的充不進去 粉色的充很慢而且還會發燙 很燙的那種 … 直接丟了 一分錢 一分貨', 'rating': 1, 'date': '2025/06/05'}]"
"[{'text': '根本就充不進去 然後一直掉電還發燙…. WTF', 'rating': 1, 'date': '2025/06/05'}]"
"[{'text': '塑膠味重', 'rating': 3, 'date': '2025/04/19'}, {'text': '因為4TB的硬碟比2TB的2.5吋外接硬碟還厚，只能勉強塞進去然後傳輸線放進去會太緊。要裝4TB的2.5吋外接硬碟可能需要找像是布製的軟殼收納包比較合適。除此之外做工還不錯，也有附掛繩。', 'rating': 3, 'date': '2025/02/13'}]"
"[{'text': '👍', 'rating': 3, 'date': '2024/03/10'}]"
"[{'text': '台灣製，讚', 'rating': 5, 'date': '2024/11/17'}]"
"[{'text': '雖然本體外觀是有點灰塵,感覺是真的放很久了,但是目前使用上正常,體積也小,攜帶方便.', 'rating': 5, 'date': '2025/07/29'}, {'text': '好用', 'rating': 5, 'date': '2025/06/06'}, {'text': '雖然是福利品，但外觀無任何傷損，充電也很快速，值得推薦。', 'rating': 5, 'date': '2024/12/15'}, {'text': '真的很輕巧，容量也很足', 'rating': 5, 'date': '2024/11/30'}, {'text': '充電速度不算快 希望可以耐用', 'rating': 3, 'date': '2025/03/05'}, {'text': '1個多月就壞了，送修回來也一樣，已放棄', 'rating': 1, 'date': '2025/02/25'}]"
"[{'text': '特價時CP很好', 'rating': 5, 'date': '2025/11/10'}, {'text': '攜帶方便', 'rating': 5, 'date': '2025/11/01'}, {'text': '超級便宜 外觀好看 充電頭剛好不會太長導致會晃', 'rating': 5, 'date': '2025/11/01'}, {'text': '輕巧小而美 電量捎小', 'rating': 5, 'date': '2025/11/01'}, {'text': '輕巧好用的行動電源，充電蠻快的', 'rating': 5, 'date': '2025/10/14'}, {'text': '手機殼讓充電器插不進去，要拔殼才有辦法', 'rating': 5, 'date': '2025/10/14'}, {'text': 'ok', 'rating': 5, 'date': '2025/09/21'}, {'text': '好便宜啊', 'rating': 5, 'date': '2025/09/03'}, {'text': 'ok', 'rating': 5, 'date': '2025/09/01'}, {'text': '充電速度快，重量輕巧，一般保護殼使用沒問題，很滿意。', 'rating': 5, 'date': '2025/08/27'}, {'text': '充電速度快，重量輕巧，一般保護殼使用沒問題，很滿意。', 'rating': 5, 'date': '2025/08/27'}, {'text': '超好用很推薦。🥰❤️👍', 'rating': 5, 'date': '2025/08/26'}, {'text': '超好用，很推薦。☺️👏👍', 'rating': 5, 'date': '2025/08/26'}, {'text': '支撐架沒想像中好用', 'rating': 4, 'date': '2025/11/17'}, {'text': '線是不通電的瑕疵品，但我也懶得換貨，就這樣加減用吧!', 'rating': 4, 'date': '2025/10/19'}, {'text': 'C頭太短⋯', 'rating': 3, 'date': '2025/10/20'}, {'text': '手機裝保護殼就很可能無法充電，這種款式的行充就是為了方便而設計，但確讓人不想拆殼充電而變成裝飾品', 'rating': 2, 'date': '2025/09/14'}, {'text': '手機裝保護殼就很可能無法充電，這種款式的行充就是為了方便而設計，但確讓人不想拆殼充電而變成裝飾品', 'rating': 2, 'date': '2025/09/14'}, {'text': '接手機的頭太短，導致裝手機殼狀況下根本插不進去，但要拆殼才充電很麻煩<br/>現在誰沒裝手機殼？', 'rating': 1, 'date': '2025/11/04'}, {'text': '用了約莫一週就無法充電進去   我都只有用2.1A去充電  不是快充', 'rating': 1, 'date': '2025/09/28'}, {'text': '有手機殼根本用不了。中間的充電頭太短', 'rating': 1, 'date': '2025/09/05'}]"
"[{'text': '到貨迅速，是一個好的賣家', 'rating': 5, 'date': '2023/12/03'}]"
