title,url,describe,product_id,price,img_url
北美品牌16W 高亮度LED燈泡 E27-8入組(白光),https://24h.pchome.com.tw/prod/DQBPAK-A900IF06L,★省電高光效 超廣角照明★【Glolux】北美品牌16W 高亮度LED燈泡 E27-8入組(白光)\r\n,DQBPAK-A900IF06L,699,https://ec1img.pchome.com.tw//items/DQBPAKA900IF06L/000001_1758509651.jpg
TL-SG108E 8埠 10/100/1000Mbps專業級Gigabit交換器,https://24h.pchome.com.tw/prod/DRAF07-A90081FBV,"TP-LINK TL-SG108E 8埠 10/100/1000Mbps專業級Gigabit交換器\r\n★8 x 10 100 1000Mbps RJ45連接埠
★提供網路監控、流量優先排序以及VLAN功能
★創新的節能技術減少電力消耗最高達58%
★建立於隨插即用便利性上的簡易網路設定 
★網頁式使用者介面1與管理工具讓設定更簡化",DRAF07-A90081FBV,1290,https://ec1img.pchome.com.tw//items/DRAF07A90081FBV/000001_1608798861.jpg
GS1008HP 無網管型8埠Gigabit PoE交換器(金屬殼),https://24h.pchome.com.tw/prod/DRAF0I-A9009OQFO,"Zyxel合勤 GS1008HP 無網管型8埠Gigabit PoE交換器(金屬殼)\r\n一次滿足企業網路和電力需求
• 智慧PoE+供電，802.3af at都支援
• 每個連接埠能提供最多30瓦的電力，單機能提供最高60瓦電力
• 隨插即用，無需再做額外設定，不須額外配置電力來源
• 全雙功模式下每埠具備高達2000Mbps的交換能力，能滿足高頻寬需求的監視器
• 節能省電功能，可依據網路線材長度、網路流量，自動調節最低功耗
• 可利用背面的壁掛孔，能夠安裝在家庭或辦公室的任何角落
• 無風扇設計帶來寂靜無聲的運轉體驗
• 適合小型辦公室或需要寧靜的環境
• 提供小型企業或SOHO族經濟又實惠的PoE交換器選擇
►全機享有原廠三年保固




無標題文件



  
  
  
  ★PoE Switch★
  
  
    
      GS1100-10HP ►
      GS1005HP ►
      GS1008HP ►",DRAF0I-A9009OQFO,2241,https://ec1img.pchome.com.tw//items/DRAF0IA9009OQFO/000001_1747898175.jpg
e  DDR4 3200 16GB 品牌專用筆記型記憶體(KCP432SD8/16),https://24h.pchome.com.tw/prod/DRAC0S-A900BFX95,Kingstone 金士頓 DDR4 3200 16GB 品牌專用筆記型記憶體(KCP432SD8/16)\r\n,DRAC0S-A900BFX95,2399,https://ec1img.pchome.com.tw//items/DRAC0SA900BFX95/000001_1638960719.jpg
Nitro N50-656系列-i5處理器/16G記憶體/1T SSD/RTX4060-8G顯卡/Win11家用版/500瓦電源(UD.E3UTA.003),https://24h.pchome.com.tw/prod/DSAAJN-A900J0TAN,Nitro N50-656系列-i5處理器/16G記憶體/1T SSD/RTX4060-8G顯卡/Win11家用版(UD.E3UTA.003)\r\n,DSAAJN-A900J0TAN,29900,https://ec1img.pchome.com.tw//items/DSAAJNA900J0TAN/000001_1759470327.jpg
Cat.5e 無屏蔽高速傳輸八芯雙絞鍍金芯網路線 黑/8M,https://24h.pchome.com.tw/prod/DCAC2H-A900EXYIN,"高速網路暢快享用山澤 Cat.5e 無屏蔽高速傳輸八芯雙絞鍍金芯網路線 黑/8M\r\n◆ 傳輸速率快速穩定
◆ 24AWG加粗線芯，穩固耐拉扯
◆ RJ45網線接口，設備兼容強，適用各種設備
◆ 使用優質PVC線材，耐拉扯，抗氧化
◆ 雙絞線結構，有效阻隔電磁波干擾，傳輸更穩定
◆ 芯片鍍鎳再鍍金，傳導性能再提升",DCAC2H-A900EXYIN,409,https://ec1img.pchome.com.tw//items/DCAC2HA900EXYIN/000001_1650620371.jpg
CAT6 屏蔽直通頭(CAT6E-G8P8CFF),https://24h.pchome.com.tw/prod/DCAC6N-A900B7665,群加 Powersync CAT6 屏蔽直通頭(CAT6E-G8P8CFF)\r\n金屬外殼 阻燃ABS,DCAC6N-A900B7665,129,https://ec1img.pchome.com.tw//items/DCAC6NA900B7665/000001_1616055031.jpg
8-10坪 靜小眠除臭抗敏清淨機 AP-0823E(贈一年份濾網組),https://24h.pchome.com.tw/prod/DMAU3E-A900IGT2U,【Coway】8-10坪 靜小眠除臭抗敏清淨機 AP-0823E(贈一年份濾網組)\r\n,DMAU3E-A900IGT2U,4900,https://ec1img.pchome.com.tw//items/DMAU3EA900IGT2U/000001_1763132075.jpg
網路 MS108GP 8埠 Gigabit PoE交換器 乙太網路交換器 switch hub(金屬殼/65W),https://24h.pchome.com.tw/prod/DRAFJG-A900GNU0C,Mercusys水星網路 MS108GP 8埠 Gigabit PoE交換器 乙太網路交換器 switch hub(金屬殼/65W)\r\n,DRAFJG-A900GNU0C,1199,https://ec1img.pchome.com.tw//items/DRAFJGA900GNU0C/000001_1694679700.jpg
Apple Lightning 8pin經典造型半入耳式有線線控耳麥耳機(E33),https://24h.pchome.com.tw/prod/DCAY1R-A900FXJGU,"Apple Lightning 8pin經典造型半入耳式有線線控耳麥耳機(E33)\r\n◆半入耳式設計，舒適不易脫落
◆Lightning 8pin接頭介面，手機、平板皆適用
◆線控耳麥，可接聽電話、Line語音、調整音量
◆穩定高音質，立體HiFi，經典實用",DCAY1R-A900FXJGU,249,https://ec1img.pchome.com.tw//items/DCAY1RA900FXJGU/000001_1673512864.jpg
Nitro N50-656系列-i7處理器/16G記憶體/1T+512G SSD/RTX4060Ti-8G顯卡/Win11家用版(UD.E3UTA.004),https://24h.pchome.com.tw/prod/DSAAJN-A900J0TBC,Nitro N50-656系列-i7處理器/16G記憶體/1T+512G SSD/RTX4060Ti-8G顯卡/Win11家用版(UD.E3UTA.004)\r\n,DSAAJN-A900J0TBC,39900,https://ec1img.pchome.com.tw//items/DSAAJNA900J0TBC/000001_1759470252.jpg
越野鞋_棕黃色_男性_MTHIERF8-2E楦,https://24h.pchome.com.tw/prod/DXBD48-A900HOY3B,【New Balance】越野鞋_棕黃色_男性_MTHIERF8-2E楦\r\n,DXBD48-A900HOY3B,2346,https://ec1img.pchome.com.tw//items/DXBD48A900HOY3B/000001_1722246574.jpg
Vivobook Go 15 15.6吋文書筆電黑色(Celeron N4500/8GB/128G eMMC/WIN11S/E510KA-0318KN4500),https://24h.pchome.com.tw/prod/DHAFPX-1900J5MYA,ASUS Vivobook Go 15 E510KA-0318KN4500 黑(Celeron N4500/8G/128G eMMC/W11S/FHD/15.6)\r\n,DHAFPX-1900J5MYA,10999,https://ec1img.pchome.com.tw//items/DHAFPX1900J5MYA/000001_1756189444.jpg
1U8座20A指針型機架電源排插/3M(TE8E0030),https://24h.pchome.com.tw/prod/DSAO92-A900ASE5M,"群加 PowerSync 1U8座20A指針型機架電源排插/3M(TE8E0030)\r\n• 配置指針式電流錶，可讀取PDU電流用電資訊。
• 適用AC110~250V的工作電壓及20A的最大工作電流 
• 可回復式20A過載保護裝置 (配置一只20安培的斷路保護器) 
• 電源線與插座反向配置，理線方便
• 採用符合UL安規認證的電源線、插座及斷路保護器等零件部品 
• 外殼材質: SPCC鋼板，熱硬化粉體烤漆 
• 適用於機房設備，可安裝於19”機櫃上，1u水平橫式",DSAO92-A900ASE5M,2990,https://ec1img.pchome.com.tw//items/DSAO92A900ASE5M/000001_1605663634.jpg
升級款防磨靜音行李箱輪子保護套 (8個/組),https://24h.pchome.com.tw/prod/DICD9Y-A900HINJC,【E.dot】升級款防磨靜音行李箱輪子保護套 (8個/組)\r\n,DICD9Y-A900HINJC,299,https://ec1img.pchome.com.tw//items/DICD9YA900HINJC/000001_1716952742.jpg
Nitro N50-656系列-i7處理器/16G記憶體/1T SSD/RTX5060-8G顯卡/Win11家用版(UD.E3UTA.00D),https://24h.pchome.com.tw/prod/DSAAJN-A900J4L9T,Nitro N50-656系列-i7處理器/16G記憶體/1T SSD/RTX5060-8G顯卡/Win11家用版(UD.E3UTA.00D)\r\n,DSAAJN-A900J4L9T,40900,https://ec1img.pchome.com.tw//items/DSAAJNA900J4L9T/000001_1755059075.jpg
超品系列 14吋 AI筆電銀色(Ultra5-125H/8GB/512GB/WIN11/14-eP/1034TU),https://24h.pchome.com.tw/prod/DHAGFP-A900HIKJB,超品系列 14吋 AI筆電銀色(Ultra5-125H/8GB/512GB/WIN11/14-eP/1034TU)\r\n,DHAGFP-A900HIKJB,24999,https://ec1img.pchome.com.tw//items/DHAGFPA900HIKJB/000001_1744341507.jpg
TS-253E-8G 2Bay NAS 網路儲存伺服器(不含硬碟),https://24h.pchome.com.tw/prod/DRAGCA-A900F9FPP,"QNAP 威聯通 TS-253E-8G 2Bay NAS 網路儲存伺服器(不含硬碟)\r\n超值 Intel 4核心 2.5GbE NAS 3年保固
★搭載Intel®Celeron®J6412 4-core 4-thread處理器
★8 GB on board (non-expandable)
★內建2個2.5Gbe網路埠 
★提供雙 M.2 2280 PCIe 插槽
★雙HDMI 1.4b輸出
★可連接至多2台QNAP TR-004或是1台8-bay TL-D800C USB3.2Gen2 JBOD",DRAGCA-A900F9FPP,18000,https://ec1img.pchome.com.tw//items/DRAGCAA900F9FPP/000001_1660788726.jpg
