text,重量體積_mentioned,重量體積_score,重量體積_sentiment,充電速度_mentioned,充電速度_score,充電速度_sentiment,接口相容性_mentioned,接口相容性_score,接口相容性_sentiment,外觀材質_mentioned,外觀材質_score,外觀材質_sentiment,價格_mentioned,價格_score,價格_sentiment
圖拉斯 Minimag 10000mAh 磁吸行動電源開箱心得：輕薄、質感、超強吸力一次到位,True,0.2,neutral,False,,,False,,,True,0.2,neutral,False,,
行動電源的LED燈品質是不是都很爛,False,,,False,,,False,,,False,,,False,,
飛利浦太陽能行動電源 DLP7728N 實測心得（戶外/攀岩人必備）,False,,,False,,,False,,,False,,,False,,
買錯了卻得到意外的驚喜｜POLYBATT LT003-12W吸附式-行動電源 5000mAh,False,,,True,-0.9109768271446228,negative,False,,,False,,,False,,
一體式行動電源安全嗎？三大行動電源品牌磁吸款怎麼選？,True,-0.586942732334137,negative,False,,,False,,,False,,,False,,
帶行動電源登機,False,,,False,,,False,,,False,,,False,,
請問有推薦的半固態行動電源嗎？,False,,,False,,,False,,,False,,,False,,
宏晉真是厲害的行動電源廠商,False,,,False,,,False,,,False,,,False,,
【簡單測試】OPPO SUPERVOOC 80W超級閃充行動電源12000mah 原廠品質就是穩,False,,,True,0.2,neutral,False,,,False,,,False,,
這款可自行安裝21700鋰電池的大功率20V5A100w行動電源如何？,True,-0.9306221008300781,negative,False,,,False,,,False,,,False,,
小米金沙江磁吸超薄 5000 15W 行動電源,True,0.2,neutral,True,-0.9271788597106934,negative,False,,,False,,,False,,
救急+有線好好用｜AnOne 磁吸行動電源 5000mAh,False,,,False,,,True,-0.978894054889679,negative,False,,,False,,
請問我買的這顆小米 行動電源 是陸版還是仿的?,True,0.2,neutral,False,,,False,,,False,,,False,,
行動電源容量標示不實 宏晉MINI SP 迷你快充行動電源 積木行動電源,False,,,True,0.2,neutral,False,,,False,,,False,,
新色開箱！Anker A1664 Qi2 超薄磁吸行動電源,True,0.2,neutral,False,,,False,,,False,,,False,,
請問新買的直插式行動電源很燙,False,,,False,,,False,,,False,,,False,,
關於行動電源,False,,,False,,,False,,,False,,,False,,
ANKER新品 A1638行動電源開箱！,False,,,False,,,False,,,False,,,False,,
出國帶行動電源？別怕！一篇文看懂「瓦時」和中國「CCC」！,False,,,False,,,False,,,False,,,False,,
經濟部標檢局公布行動電源緊急召回品牌型號名單整理,False,,,False,,,False,,,False,,,False,,
行動電源安全嗎？透過3個關鍵判斷方法,False,,,False,,,False,,,False,,,False,,
movespeed移速57000mah行動電源+MFI認證線+20W快充頭 開箱,False,,,True,0.2,neutral,True,-0.9059861302375793,negative,False,,,False,,
請推薦適合SAMSUNG Fold 7的行動電源?,False,,,False,,,False,,,False,,,False,,
【開箱測試】aircolor疾行者65w行動電源20000mah 長時間輸出不斷電,False,,,False,,,False,,,False,,,False,,
小米召回Xiaomi 自帶線行動電源 20000 33W,True,0.2,neutral,True,-0.7114670872688293,negative,True,-0.7114670872688293,negative,False,,,False,,
反推『BEZALEL 倍加能』磁吸行動電源 ❌,False,,,False,,,False,,,False,,,False,,
PHILIPS 22.5W 伸縮線 20000mAh 行動電源 開箱分享,False,,,True,-0.9395017027854919,negative,True,-0.9395017027854919,negative,False,,,False,,
[分享] 演唱會救星 PHILIPS 黑金剛 Qi2 行動電源小開箱心得,True,0.2,neutral,False,,,False,,,False,,,False,,
請問行動電源亞果元素的 Gravity X5 問題，插110V的公插頭怎麼彈出來,False,,,False,,,False,,,False,,,True,-0.8171125054359436,negative
【開箱測試】aircolor雲朵系六合一磁吸快充行動電源,False,,,True,0.2,neutral,False,,,False,,,False,,
【開箱測試】亞果元素VIONTA P5 Pro 五合一口袋型行動電源三星蘋果手錶都可充,False,,,False,,,False,,,False,,,True,-0.9410682320594788,negative
【拆解測試】ADATA 威剛 P10000QCD 超平價行動電源,False,,,True,-0.9201598763465881,negative,False,,,False,,,True,-0.9201598763465881,negative
【開箱測試】iWALK六代口袋行動電源5500mah 容量加大 體積不變 但有過熱問題,True,-0.5170173645019531,negative,True,-0.5170173645019531,negative,False,,,False,,,False,,
【開箱測試】LOFREE 釉光多功能行動電源 5000mah 外觀精緻 效能其次,False,,,False,,,False,,,True,0.2,neutral,False,,
【拆解分享】台達 Innergie 5100mAh Qi2 20W 磁吸行動電源 Innergie 10200mah 45w 令人失望的台灣製造,False,,,True,-0.8267786502838135,negative,False,,,False,,,False,,
推薦高容量的行動電源,False,,,False,,,False,,,False,,,False,,
【開箱測試】OPPO 22.5W能量果凍快充行動電源 10000mah 外觀亮眼 適合蘋果用戶,False,,,True,0.2,neutral,False,,,True,-0.9800214171409607,negative,False,,
超爛的倍加能行動電源,False,,,False,,,False,,,False,,,False,,
【開箱測試】iWALK MAGO磁吸帶線行動電源 支援QI2無線充電 手感好 價格合理,False,,,True,-0.984093964099884,negative,True,-0.984093964099884,negative,False,,,True,-0.984093964099884,negative
【開箱測試】CIO SMARTCOBY Pro SLIM 10000mah行動電源 日本的行動電源有比較好嗎?,False,,,False,,,False,,,False,,,False,,
【開箱測試】Xiaomi 自帶線行動電源 20000 22.5W,False,,,True,-0.9136477112770081,negative,True,-0.9136477112770081,negative,False,,,False,,
【開箱測試】行動電源萬能充MAX 36wh/10000mah,False,,,False,,,False,,,False,,,False,,
【開箱測試】Samsung 三星 10000mAh 25W 無線閃充行動電源(EB-U2510) 值得買嗎?,False,,,True,0.2,neutral,True,-0.919143557548523,negative,False,,,True,0.2,neutral
【簡單測試】立達國際 GIGASTONE 三合一 口袋直插式行動電源 MP-5000AC,False,,,False,,,False,,,False,,,False,,
【測試】AUKEY Sling全系列行動電源 Sling Lite (PB-Y53) Sling 10000mAh （PB-Y47） Sling 20000mAh (PB-Y48),False,,,False,,,False,,,False,,,False,,
臨時手機沒電? ChargeSPOT讓你像借U-Bike一樣租借行動電源,False,,,False,,,False,,,False,,,False,,
