text,重量體積_mentioned,重量體積_score,重量體積_sentiment,重量體積_confidence,充電速度_mentioned,充電速度_score,充電速度_sentiment,充電速度_confidence,接口相容性_mentioned,接口相容性_score,接口相容性_sentiment,接口相容性_confidence,外觀材質_mentioned,外觀材質_score,外觀材質_sentiment,外觀材質_confidence,價格_mentioned,價格_score,價格_sentiment,價格_confidence
"[""[{'text': '很薄 好攜帶', 'rating': 5, 'date': '2025/06/30'}, {'text': '真的非常輕薄，電量不足的救星。', 'rating': 5, 'date': '2025/06/09'}, {'text': '超推超好用，薄而且充電快，吸力很強，已推薦朋友購買。', 'rating': 5, 'date': '2025/04/05'}, {'t",True,0.717698643001298,positive,1.0,True,0.7177407459884956,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '容量大，輕盈，體積小', 'rating': 4, 'date': '2025/03/30'}]""]",True,0.3329281705933116,positive,0.4993922558899674,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '磁力稍弱，但有可能因為手機背蓋的材質而影響，蘋果手機倒是磁吸不弱。但還是要注意有可能無線充電鬆手掉落。', 'rating': 5, 'date': '2024/07/23'}, {'text': '行動電源已有電使用14pro磁吸充可充30%，行動電源是typeC-USB接線(沒有附)，行動充電器充飽需要3小時，外觀偏軍綠美很輕，送貨快，值得推薦。', 'rating'",True,0.6087829429321956,positive,0.9131744143982934,True,0.6172815218934439,positive,0.9259222828401659,True,-0.7929760685699345,negative,1.0,True,0.7183706747672403,positive,1.0,False,,,
"[""[{'text': '磁吸效果很棒，手感與質感都不錯，若需求會再回購商品', 'rating': 5, 'date': '2024/04/22'}]""]",False,,,,False,,,,False,,,,True,0.7176455472607242,positive,1.0,False,,,
"[""[{'text': '真的好用', 'rating': 5, 'date': '2025/11/08'}, {'text': '不知道是不是所有的magsafe到80%後都會自動進入涓流充電狀態', 'rating': 5, 'date': '2025/08/22'}, {'text': '行動電源還是買大品牌較有保障！', 'rating': 5, 'date': '2025/03/14'}",True,-0.3936712947638549,negative,0.5905069421457823,True,0.025440849557629965,neutral,0.03816127433644495,False,,,,True,0.025440849557629965,neutral,0.03816127433644495,True,0.7212179347447927,positive,1.0
"[""[{'text': '價格優惠，但品質還要用過後才能評價', 'rating': 5, 'date': '2025/11/05'}, {'text': '非常滿意！！<br/>商品符何預期', 'rating': 5, 'date': '2024/09/24'}, {'text': '不錯用，電量少了點', 'rating': 5, 'date': '2024/08/31'}, {'text'",True,-0.7624166461633715,negative,1.0,True,-0.24952235993125962,neutral,0.37428353989688945,True,-0.7624166461633715,negative,1.0,False,,,,True,0.6629388346110133,positive,0.99440825191652
"[""[{'text': '有質感', 'rating': 5, 'date': '2024/02/20'}, {'text': '充電不太會發熱 👍', 'rating': 5, 'date': '2023/12/26'}]""]",False,,,,True,-0.7122394418950241,negative,1.0,False,,,,True,0.7173049830503807,positive,1.0,False,,,
"[""[{'text': '好', 'rating': 5, 'date': '2025/07/23'}, {'text': '自帶的編織線品質蠻差的，剛拿到就起毛了，而且充電速度也不如預期，從零開始充要三個小時才會滿電。', 'rating': 3, 'date': '2025/08/10'}, {'text': '實體的尺寸跟商品頁、甚至官網上寫的不符。<br/>實際長度約105mm 遠大於宣稱",True,-0.19792564456399223,neutral,0.29688846684598835,True,-0.8795516659211741,negative,1.0,True,-0.8795516659211741,negative,1.0,False,,,,False,,,
"[""[{'text': '用沒多久就不能充電近期', 'rating': 1, 'date': '2024/08/06'}]""]",False,,,,True,-0.9013157316997424,negative,1.0,False,,,,False,,,,False,,,
"[""[{'text': '唯一的缺點就是太重了，其他的都不錯的', 'rating': 5, 'date': '2025/09/10'}]""]",True,-0.8982391485037108,negative,1.0,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '充電時，燈號不會顯示（不亮）電池的電量比例，很可惜的設計。', 'rating': 4, 'date': '2025/09/14'}]""]",False,,,,True,-0.8085080951372332,negative,1.0,False,,,,True,-0.8085080951372332,negative,1.0,False,,,
"[""[{'text': '不錯用', 'rating': 5, 'date': '2025/02/17'}, {'text': '謝謝', 'rating': 5, 'date': '2024/12/23'}, {'text': '很方便結合了手邊的3C產品充電！出門不用在帶一堆線', 'rating': 5, 'date': '2024/10/11'}, {'text': '東西有一點刮痕，充電",False,,,,True,0.2816985676582284,positive,0.42254785148734264,True,0.2816985676582284,positive,0.42254785148734264,False,,,,False,,,
"[""[{'text': '包裝完成，使用上不會很燙，輕巧', 'rating': 5, 'date': '2025/09/11'}, {'text': '大小適中，磁吸品質好，值得推薦！', 'rating': 5, 'date': '2025/01/27'}]""]",True,0.526811989267881,positive,0.7902179839018215,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '收到商品，試了一下，蠻好用的，只是有個小缺點<br/>就是 CCC認證 及 電蕊容量字太小了，怕過不了中國海關<br/>只好先用手機照像，如果海關有問題，還有手機照片可放大，證明有CCC及未超出容量', 'rating': 4, 'date': '2025/10/05'}]""]",True,0.02499499224847347,neutral,0.03749248837271021,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '充Apple watch 不容易定位，很難充，其他還好', 'rating': 4, 'date': '2025/01/01'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '好用！', 'rating': 5, 'date': '2025/03/19'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '非常符合需求', 'rating': 5, 'date': '2024/04/19'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '很美的一個商品！很喜歡', 'rating': 5, 'date': '2025/10/29'}]""]",False,,,,False,,,,False,,,,True,0.7201889173868796,positive,1.0,False,,,
"[""[{'text': '非常好用,可以同時充電很方便,包裝良好,出貨快速,謝謝！', 'rating': 5, 'date': '2025/02/02'}]""]",False,,,,True,0.7176950012278231,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '目前用起來還不錯，只是線有比較短的感覺', 'rating': 5, 'date': '2023/12/09'}, {'text': '方便好用，一拿就走，而且又附線，不用再急忙或額外帶線', 'rating': 5, 'date': '2023/11/21'}]""]",False,,,,False,,,,True,0.015495669188184857,neutral,0.023243503782277283,False,,,,False,,,
"[""[{'text': '品質不錯，磁吸功能讚👍👍👍<br/>不過可惜充電沒有到很快', 'rating': 4, 'date': '2025/05/22'}]""]",False,,,,True,0.721418867364805,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '無線充電慢，也常常沒立刻啓動', 'rating': 3, 'date': '2024/05/08'}, {'text': '用在IPhone 15 Pro上，如果裝保護殼，在行動電源頂端！會被鏡頭保護框頂起來，行動電源無法緊密的貼著，中間會有一條細縫，所以購買前要確認好機型，或去實體店面試用過，不然那個縫隙！很難接受。', 'rating': 3, 'date': '2",False,,,,True,-0.9029284456084318,negative,1.0,True,-0.8959697040845442,negative,1.0,False,,,,False,,,
"[""[{'text': 'Snoopy就是帥 。', 'rating': 5, 'date': '2025/09/14'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '磁吸太弱，充手錶也不好對位置', 'rating': 3, 'date': '2024/09/16'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '超級可愛', 'rating': 5, 'date': '2024/03/19'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '關閉本機的按鍵方式不明確。', 'rating': 4, 'date': '2025/09/29'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '太方便了！輪流使用剛剛好', 'rating': 5, 'date': '2023/11/26'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '好用，CCC，大陸國內航線 可以用！', 'rating': 5, 'date': '2025/11/10'}, {'text': '還不錯用', 'rating': 5, 'date': '2025/09/29'}]""]",True,-0.9031583601961657,negative,1.0,False,,,,True,-0.8969484121569653,negative,1.0,False,,,,False,,,
"[""[{'text': '謝謝', 'rating': 5, 'date': '2025/10/13'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '很讚！！！', 'rating': 5, 'date': '2025/04/13'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '物流太慢了,  5天還沒收到貨...<br/>原本 2-3 天 還可以忍受, 2023/12/28 早上下訂, 2024/1/2 下午還沒有通知, 到底要不要配送 ?', 'rating': 1, 'date': '2024/01/02'}]""]",False,,,,True,-0.9001473894225801,negative,1.0,False,,,,False,,,,False,,,
"[""[{'text': '容易過熱…', 'rating': 3, 'date': '2024/10/23'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '商品表示錯誤把電能74WH寫成功率74W,實際只有22.5w,建議更正為 22.5w 20000mAH 74wh', 'rating': 4, 'date': '2024/09/02'}]""]",False,,,,True,-0.8207408439397809,negative,1.0,False,,,,False,,,,False,,,
"[""[{'text': '這個超好用的，買了兩次😂充電快又方便', 'rating': 5, 'date': '2025/02/15'}, {'text': '非常好用還方便充電，也不會很重', 'rating': 5, 'date': '2025/02/03'}, {'text': '只有在外包裝標示 wh, 產品本體未標註。', 'rating': 3, 'date': '2025/03/20",True,-0.7146381564668998,negative,1.0,True,0.7179495186557967,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '充電方便，副廠電池好選擇', 'rating': 5, 'date': '2025/05/20'}]""]",False,,,,True,0.017682631266724036,neutral,0.026523946900086054,False,,,,False,,,,False,,,
"[""[{'text': 'iPhone 13 電池健康度 87%<br/>3227 mAh * 0.87= 2807.49 mAh<br/>從60%以無線充電到90%會耗盡號稱額定容量6400mAh電量的行充 70%的電量<br/>不知是否是商品有欺哄消費者嫌疑', 'rating': 1, 'date': '2023/12/07'}]""]",False,,,,True,-0.8513756774160313,negative,1.0,True,-0.8513756774160313,negative,1.0,False,,,,False,,,
"[""[{'text': '買不到一個月 AC充電頭就沒辦法充電 只能用TypeC充電...不推', 'rating': 1, 'date': '2025/02/05'}]""]",False,,,,True,-0.8963540449443625,negative,1.0,False,,,,False,,,,False,,,
"[""[{'text': '風力很強，<br/>非常適合把一些灰塵吹走，<br/>很滿意！', 'rating': 5, 'date': '2024/11/29'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '吸力強，品質優，讚👍', 'rating': 5, 'date': '2024/11/13'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '很好用 很方便', 'rating': 5, 'date': '2024/12/02'}, {'text': '充一次電就壞掉了', 'rating': 1, 'date': '2024/09/11'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': 'iPhone 12 pro每次充電都需重新開機才能使用，否則邊充邊掉電。充電時行動電源會發燙。<br/>但外觀輕巧，磁吸效果好，顏值高。', 'rating': 2, 'date': '2024/05/28'}]""]",True,0.4379447554002093,positive,0.6569171331003139,True,-0.8638797104015924,negative,1.0,False,,,,True,0.008123874753119565,neutral,0.012185812129679348,False,,,
"[""[{'text': '商品外觀質感很好，但有一點讓人感覺噁心。寫在這裡給下一位有意購買的參考，商品要註冊獲取保固的時候，要以FB帳號去按他們粉絲專頁讚才可以的喔，有夠無言，直接放棄。而且商品外盒的QRcode根本錯誤無法前往該網址。', 'rating': 4, 'date': '2025/07/08'}]""]",False,,,,False,,,,False,,,,True,0.7643200163732209,positive,1.0,False,,,
"[""[{'text': 'Reliable!', 'rating': 5, 'date': '2025/08/14'}]""]",False,,,,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '粉色很好看。做工細緻。無線充電充不了太久就說過熱中斷。其他都不錯。', 'rating': 5, 'date': '2024/07/07'}, {'text': '十合一帶線行動電源，設計富巧思，不但蓄電方式方便，而且提供手機充電的方式亦多元，值得推薦給大家。', 'rating': 5, 'date': '2024/05/16'}, {'text': '質感不錯', '",True,-0.21402947900509758,neutral,0.32104421850764636,True,0.5934516201992838,positive,0.8901774302989256,True,0.1832897788878871,neutral,0.27493466833183067,True,0.7190472669775461,positive,1.0,True,0.7211652475820023,positive,1.0
"[""[{'text': '實測可以供電給 ROG Ally 掌機，極速模式30W 大約1小時 ，能供電65W ，價格是同規格裡CP值較高的', 'rating': 5, 'date': '2024/10/30'}, {'text': '好用的行動電源電力十足，筆電也能穏定供電', 'rating': 5, 'date': '2024/09/04'}, {'text': '電量大，可充switch跟",True,0.059003008345435544,neutral,0.08850451251815332,True,0.6955254435433791,positive,1.0,True,-0.7644661144664737,negative,1.0,True,0.6755148416923142,positive,1.0,True,0.6848150200139863,positive,1.0
"[""[{'text': '質感及使用上很棒，這是買第二次了，很喜歡💕', 'rating': 5, 'date': '2024/11/08'}, {'text': '產品的外觀亮滑，好有質感👍🏻<br/>考慮了一段時間，買了之後，感覺很值得<br/>因為表面亮面較容易滑手，拿的時候小心拿取', 'rating': 5, 'date': '2024/10/25'}, {'text': '背面的磁吸力",True,0.7181878354800322,positive,1.0,True,0.009730523665812613,neutral,0.01459578549871892,False,,,,True,0.7181878354800322,positive,1.0,False,,,
"[""[{'text': '充電很快符合我一直想要的行動電源', 'rating': 5, 'date': '2025/03/07'}, {'text': '容量大道溢出來', 'rating': 5, 'date': '2024/11/19'}, {'text': '沒有CCC,  3C 標識, 不能隨身攜帶上中華大陸民航機。', 'rating': 2, 'date': '2025/06/27'",True,-0.12768740630602557,neutral,0.19153110945903834,True,0.6581201684565775,positive,0.9871802526848663,False,,,,True,-0.8950521895994127,negative,1.0,False,,,
"[""[{'text': '剛充電的前幾分鐘，掉電速度甚至可以在3分鐘內下降10%，後續才趨於穩定，不過也可能是我第一次使用這類新型的充電器，不排除其他品牌也有相同的問題。總結來說這行充外層精美也實用，值得推薦', 'rating': 5, 'date': '2025/02/26'}, {'text': '商品符合預期', 'rating': 5, 'date': '2025/02/02'}]""]",False,,,,True,-0.7371667126249166,negative,1.0,False,,,,True,0.7206887281402982,positive,1.0,False,,,
"[""[{'text': '產品本身沒什麼問題，說明書用語跟台灣差異很大就是了<br/><br/>好好的產品被一張紙打壞印象實在很可惜', 'rating': 4, 'date': '2025/05/27'}]""]",True,-0.8851569635779548,negative,1.0,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '厚度跟裸機的 iPhone 幾乎一樣，貼在手機充電時也不太影響手感', 'rating': 5, 'date': '2024/12/24'}, {'text': '這個吸力，有待加強⋯', 'rating': 4, 'date': '2025/05/07'}, {'text': '充電會時會發燙', 'rating': 3, 'date': '2025/02/24'}, ",True,-0.9045342676780141,negative,1.0,True,-0.9045342676780141,negative,1.0,False,,,,False,,,,False,,,
"[""[{'text': 'Fantastic power bank, light-weighted and powerful.', 'rating': 5, 'date': '2024/11/28'}, {'text': '整體來說不錯，磁吸也ok<br/>但充電會發燙，磁吸都怕過熱；所幸還能用線、還行', 'rating': 4, 'date': '2024/09/11'}, {'text': ",False,,,,True,-0.7051072126321193,negative,1.0,True,0.056475577780194734,neutral,0.0847133666702921,False,,,,False,,,
