text,重量體積_mentioned,重量體積_score,重量體積_sentiment,重量體積_confidence,充電速度_mentioned,充電速度_score,充電速度_sentiment,充電速度_confidence,接口相容性_mentioned,接口相容性_score,接口相容性_sentiment,接口相容性_confidence,外觀材質_mentioned,外觀材質_score,外觀材質_sentiment,外觀材質_confidence,價格_mentioned,價格_score,價格_sentiment,價格_confidence
"[""[{'text': '出貨速度超級快，非常滿意!!', 'rating': 5, 'date': '2024/12/21'}]""]",False,,,,True,0.7178638168379783,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '有折扣優惠購入，很需要大電量行充PB-Y43支援65W PD快充 AUKEY 確實 勁量電力 續航不斷 20000mAh好用👍', 'rating': 5, 'date': '2024/07/17'}, {'text': '出去玩狂拍錄影沒問題', 'rating': 5, 'date': '2025/05/05'}, {'text': '容量大,65W筆電沒問題,充電功",True,-0.2482323335160772,neutral,0.3723485002741158,True,0.7184446980554564,positive,1.0,False,,,,True,0.7180533628625188,positive,1.0,False,,,
"[""[{'text': '吸上去i16pro剛好沒卡到殼的鏡頭框，比起前一代7.5w雖然還是溫溫的但手機沒跳過熱暫停充電，能充飽電了', 'rating': 5, 'date': '2024/10/30'}, {'text': '姐夫充滿電神奇滿滿，它說非常好用，已回購。', 'rating': 5, 'date': '2025/01/06'}, {'text': '不錯用 吸無殼iPhone 很",True,-0.3914574685502968,negative,0.5871862028254452,True,0.7180161153426945,positive,1.0,True,0.016198320828802334,neutral,0.0242974812432035,True,0.7194384226882323,positive,1.0,False,,,
"[""[{'text': 'innergie 大廠使用有安心，吸力好，外觀漂亮，還有一年保固，而且made in Taiwan', 'rating': 5, 'date': '2025/06/08'}, {'text': '電力強充電快，不會有溫度燙手的情況，也能穩穩吸住手機，如宣傳上所述特點，解決了出國旅遊不容易定點充電的問題。', 'rating': 5, 'date': '2025/02/17",True,-0.6084349305798983,negative,0.9126523958698474,True,0.4252413765004981,positive,0.6378620647507471,True,-0.8770954973456055,negative,1.0,True,0.46538688153577445,positive,0.6980803223036617,True,-0.8994996071380466,negative,1.0
"[""[{'text': '簡單好用，而且大容量，可以充相機、手機、電腦。', 'rating': 5, 'date': '2024/12/18'}, {'text': 'A Very good product.', 'rating': 5, 'date': '2024/10/17'}]""]",True,-0.7148316521838862,negative,1.0,False,,,,False,,,,False,,,,False,,,
"[""[{'text': '這款可為筆記型電腦充電的行動電源，其優點在於自帶插頭、因應不同地區插座的轉換頭、還有一条USB C充電線，電量也以相對精確的百分比數值顯示。相對的缺點則是體積大了點以及稍重一點。', 'rating': 5, 'date': '2025/06/25'}, {'text': '飛利浦至少比較有保障吧，質感也不錯，不過它的每項產品都比別的廠牌還要來得貴些，不會成為我主要選擇的",True,-0.9013603657265759,negative,1.0,True,0.02098641071015376,neutral,0.03147961606523064,True,-0.8997018556833679,negative,1.0,True,0.7256781879973062,positive,1.0,True,-0.7066513218482277,negative,1.0
"[""[{'text': '實用且方便，體積小手感不錯，在汽車或機車的救車體驗上給予高度的評價。', 'rating': 5, 'date': '2025/09/25'}, {'text': '貨品包裝很棒，出貨速度快。', 'rating': 5, 'date': '2023/11/18'}, {'text': '我大約在2025/6/24~25收到,今天是 2025/07/20, 發表過去這3週",True,0.02270740296443815,neutral,0.03406110444665722,True,0.4893031569163226,positive,0.7339547353744839,False,,,,False,,,,False,,,
"[""[{'text': '超快超讚', 'rating': 5, 'date': '2024/02/29'}]""]",False,,,,True,0.7247705325442697,positive,1.0,False,,,,False,,,,False,,,
"[""[{'text': '造型不錯 吸力足夠', 'rating': 5, 'date': '2025/06/13'}, {'text': '磁吸充電很方便 不過有一點重', 'rating': 5, 'date': '2025/06/09'}, {'text': '磁吸完全吸不住<br/>花錢買這麼貴的磁吸行動電源<br/>很像買了個寂寞', 'rating': 1, 'date': '2025",True,-0.6424227499530962,negative,0.9636341249296443,True,0.3312927024874847,positive,0.49693905373122704,False,,,,False,,,,True,-0.6424227499530962,negative,0.9636341249296443
"[""[{'text': '比想像中的還大一號。', 'rating': 4, 'date': '2024/07/25'}]""]",True,-0.8872432074456388,negative,1.0,False,,,,False,,,,False,,,,False,,,
