date,pd ¦æ°Ê¹q·½,score
2020/11/15,100,100
2020/11/22,54,54
2020/11/29,65,65
2020/12/6,71,71
2020/12/13,60,60
2020/12/20,61,61
2020/12/27,57,57
2021/1/3,0,0
2021/1/10,0,0
2021/1/17,48,48
2021/1/24,65,65
2021/1/31,0,0
2021/2/7,0,0
2021/2/14,0,0
2021/2/21,56,56
2021/2/28,0,0
2021/3/7,0,0
2021/3/14,0,0
2021/3/21,43,43
2021/3/28,48,48
2021/4/4,0,0
2021/4/11,0,0
2021/4/18,50,50
2021/4/25,0,0
2021/5/2,0,0
2021/5/9,50,50
2021/5/16,0,0
2021/5/23,0,0
2021/5/30,0,0
2021/6/6,0,0
2021/6/13,0,0
2021/6/20,0,0
2021/6/27,0,0
2021/7/4,0,0
2021/7/11,0,0
2021/7/18,0,0
2021/7/25,0,0
2021/8/1,0,0
2021/8/8,0,0
2021/8/15,0,0
2021/8/22,0,0
2021/8/29,58,58
2021/9/5,0,0
2021/9/12,0,0
2021/9/19,0,0
2021/9/26,67,67
2021/10/3,0,0
2021/10/10,48,48
2021/10/17,0,0
2021/10/24,59,59
2021/10/31,71,71
2021/11/7,46,46
2021/11/14,47,47
2021/11/21,0,0
2021/11/28,0,0
2021/12/5,60,60
2021/12/12,55,55
2021/12/19,0,0
2021/12/26,48,48
2022/1/2,73,73
2022/1/9,0,0
2022/1/16,0,0
2022/1/23,0,0
2022/1/30,0,0
2022/2/6,47,47
2022/2/13,38,38
2022/2/20,57,57
2022/2/27,35,35
2022/3/6,43,43
2022/3/13,57,57
2022/3/20,56,56
2022/3/27,40,40
2022/4/3,50,50
2022/4/10,0,0
2022/4/17,0,0
2022/4/24,0,0
2022/5/1,50,50
2022/5/8,34,34
2022/5/15,0,0
2022/5/22,0,0
2022/5/29,0,0
2022/6/5,0,0
2022/6/12,0,0
2022/6/19,0,0
2022/6/26,37,37
2022/7/3,56,56
2022/7/10,43,43
2022/7/17,38,38
2022/7/24,0,0
2022/7/31,74,74
2022/8/7,50,50
2022/8/14,36,36
2022/8/21,0,0
2022/8/28,0,0
2022/9/4,41,41
2022/9/11,34,34
2022/9/18,54,54
2022/9/25,40,40
2022/10/2,49,49
2022/10/9,0,0
2022/10/16,0,0
