date,power bank design,portable power bank,power bank built-in cable,power bank GaN,total
2025/8/13,45,66,0,0,27.75
2025/8/14,51,63,0,0,28.5
2025/8/15,42,75,6,0,30.75
2025/8/16,39,81,0,0,30
2025/8/17,48,84,9,8,37.25
2025/8/18,58,81,5,5,37.25
2025/8/19,43,72,5,0,30
2025/8/20,36,59,0,0,23.75
2025/8/21,34,65,7,0,26.5
2025/8/22,37,66,5,0,27
2025/8/23,28,82,8,6,31
2025/8/24,41,98,7,7,38.25
2025/8/25,31,74,5,5,28.75
2025/8/26,43,77,5,0,31.25
2025/8/27,40,82,7,0,32.25
2025/8/28,39,81,6,0,31.5
2025/8/29,37,81,5,5,32
2025/8/30,32,78,8,0,29.5
2025/8/31,49,95,9,6,39.75
2025/9/1,46,94,6,0,36.5
2025/9/2,46,87,11,0,36
2025/9/3,45,78,10,0,33.25
2025/9/4,38,93,10,0,35.25
2025/9/5,45,88,11,0,36
2025/9/6,45,99,7,0,37.75
2025/9/7,53,100,9,0,40.5
2025/9/8,48,95,10,5,39.5
2025/9/9,51,83,9,0,35.75
2025/9/10,47,81,6,0,33.5
2025/9/11,29,73,6,0,27
2025/9/12,28,53,7,0,22
2025/9/13,38,57,0,0,23.75
2025/9/14,34,76,0,0,27.5
2025/9/15,26,58,0,0,21
2025/9/16,31,53,7,0,22.75
2025/9/17,32,51,0,0,20.75
2025/9/18,25,53,5,0,20.75
2025/9/19,25,49,0,0,18.5
2025/9/20,24,54,6,0,21
2025/9/21,31,67,11,0,27.25
2025/9/22,38,62,9,5,28.5
2025/9/23,32,59,9,0,25
2025/9/24,31,52,6,0,22.25
2025/9/25,35,64,6,0,26.25
2025/9/26,33,57,0,0,22.5
2025/9/27,27,56,11,0,23.5
2025/9/28,31,65,0,0,24
2025/9/29,36,69,5,0,27.5
2025/9/30,36,56,9,0,25.25
2025/10/1,29,54,5,0,22
2025/10/2,34,58,5,0,24.25
2025/10/3,27,56,0,0,20.75
2025/10/4,21,60,0,0,20.25
2025/10/5,22,62,7,0,22.75
2025/10/6,24,53,0,0,19.25
2025/10/7,32,65,6,0,25.75
2025/10/8,29,70,7,0,26.5
2025/10/9,29,61,7,0,24.25
2025/10/10,35,62,0,0,24.25
2025/10/11,25,56,9,0,22.5
2025/10/12,23,62,13,0,24.5
2025/10/13,28,50,0,0,19.5
2025/10/14,24,52,6,6,22
2025/10/15,30,55,8,7,25
2025/10/16,34,60,9,5,27
2025/10/17,27,48,0,7,20.5
2025/10/18,29,62,0,0,22.75
2025/10/19,25,58,0,0,20.75
2025/10/20,37,59,0,0,24
2025/10/21,32,64,9,0,26.25
2025/10/22,27,56,0,0,20.75
2025/10/23,36,56,0,5,24.25
2025/10/24,35,58,0,5,24.5
2025/10/25,30,52,8,0,22.5
2025/10/26,25,69,7,0,25.25
2025/10/27,29,55,0,0,21
2025/10/28,33,56,6,5,25
2025/10/29,32,59,8,5,26
2025/10/30,2,28,1,<1,7.75
2025/10/31,2,28,1,1,8
2025/11/1,2,31,1,1,8.75
2025/11/2,2,33,1,1,9.25
2025/11/3,3,32,1,1,9.25
2025/11/4,2,30,1,1,8.5
2025/11/5,2,30,1,1,8.5
2025/11/6,2,30,1,1,8.5
2025/11/7,2,33,1,1,9.25
2025/11/8,2,31,1,1,8.75
2025/11/9,2,32,1,1,9
2025/11/10,2,33,1,1,9.25
2025/11/11,3,35,1,1,10
2025/11/12,3,35,1,1,10
2025/11/13,4,38,1,1,11
