date,︽笆筿方 基,best value power bank,power bank price,budget power bank,︽笆筿方 キ基,total
2025/8/13,0,2,72,4,0,15.6
2025/8/14,0,1,81,4,0,17.2
2025/8/15,0,2,73,4,0,15.8
2025/8/16,0,2,77,4,0,16.6
2025/8/17,0,3,80,4,0,17.4
2025/8/18,0,2,100,5,0,21.4
2025/8/19,0,2,89,3,0,18.8
2025/8/20,0,1,68,3,0,14.4
2025/8/21,0,1,69,2,1,14.6
2025/8/22,0,1,69,3,0,14.6
2025/8/23,0,1,57,3,0,12.2
2025/8/24,0,2,64,4,0,14
2025/8/25,0,1,78,3,0,16.4
2025/8/26,1,1,70,4,0,15.2
2025/8/27,0,1,56,3,0,12
2025/8/28,0,1,70,3,0,14.8
2025/8/29,0,2,76,4,0,16.4
2025/8/30,0,2,64,4,0,14
2025/8/31,0,2,68,5,0,15
2025/9/1,0,2,81,4,0,17.4
2025/9/2,0,2,81,5,0,17.6
2025/9/3,0,2,86,4,0,18.4
2025/9/4,0,1,84,4,0,17.8
2025/9/5,0,2,77,4,0,16.6
2025/9/6,0,2,78,4,0,16.8
2025/9/7,0,2,78,5,0,17
2025/9/8,0,1,88,4,0,18.6
2025/9/9,0,2,80,4,0,17.2
2025/9/10,0,2,81,4,0,17.4
2025/9/11,0,0,67,3,0,14
2025/9/12,0,1,63,2,0,13.2
2025/9/13,0,1,59,4,0,12.8
2025/9/14,0,2,60,3,0,13
2025/9/15,0,2,70,3,0,15
2025/9/16,0,1,64,4,0,13.8
2025/9/17,0,1,57,3,0,12.2
2025/9/18,0,1,59,3,0,12.6
2025/9/19,0,1,60,2,0,12.6
2025/9/20,0,1,47,2,0,10
2025/9/21,0,1,45,4,0,10
2025/9/22,0,1,70,4,0,15
2025/9/23,0,0,69,3,0,14.4
2025/9/24,0,1,58,3,0,12.4
2025/9/25,0,1,61,3,0,13
2025/9/26,0,1,64,3,0,13.6
2025/9/27,0,1,55,3,0,11.8
2025/9/28,0,1,54,3,0,11.6
2025/9/29,0,1,68,3,0,14.4
2025/9/30,0,1,63,3,0,13.4
2025/10/1,0,1,71,3,0,15
2025/10/2,0,1,53,3,0,11.4
2025/10/3,0,0,61,3,0,12.8
2025/10/4,0,1,44,2,0,9.4
2025/10/5,0,0,39,2,0,8.2
2025/10/6,0,1,56,3,0,12
2025/10/7,0,1,58,4,0,12.6
2025/10/8,0,1,60,4,0,13
2025/10/9,0,1,62,3,0,13.2
2025/10/10,0,1,69,4,0,14.8
2025/10/11,0,1,54,3,0,11.6
2025/10/12,0,1,57,3,0,12.2
2025/10/13,0,0,63,2,0,13
2025/10/14,0,0,59,3,0,12.4
2025/10/15,0,1,58,2,0,12.2
2025/10/16,0,1,69,3,0,14.6
2025/10/17,0,1,59,4,0,12.8
2025/10/18,0,0,44,2,0,9.2
2025/10/19,0,1,39,3,0,8.6
2025/10/20,0,1,63,3,0,13.4
2025/10/21,0,1,69,3,0,14.6
2025/10/22,0,1,52,2,0,11
2025/10/23,0,2,73,4,0,15.8
2025/10/24,0,1,68,3,0,14.4
2025/10/25,0,1,50,3,0,10.8
2025/10/26,0,1,42,3,0,9.2
2025/10/27,0,1,56,3,0,12
2025/10/28,0,0,69,4,0,14.6
2025/10/29,0,1,59,2,0,12.4
2025/10/30,<1,<1,22,<1,0,4.4
2025/10/31,<1,<1,23,<1,0,4.6
2025/11/1,<1,<1,10,<1,0,2
2025/11/2,<1,<1,8,<1,0,1.6
2025/11/3,<1,<1,26,<1,0,5.2
2025/11/4,<1,<1,22,<1,0,4.4
2025/11/5,<1,<1,8,<1,0,1.6
2025/11/6,<1,<1,23,<1,0,4.6
2025/11/7,<1,<1,23,<1,0,4.6
2025/11/8,<1,0,8,<1,0,1.6
2025/11/9,<1,<1,7,<1,0,1.4
2025/11/10,<1,<1,24,<1,0,4.8
2025/11/11,<1,<1,22,<1,0,4.4
2025/11/12,<1,<1,21,<1,0,4.2
2025/11/13,<1,<1,44,1,0,9
