date,行動電源重量,power bank mah,lightweight power bank,power bank weight,total
2025/8/13,0,86,10,61,39.25
2025/8/14,0,90,10,64,41
2025/8/15,0,84,10,72,41.5
2025/8/16,0,75,14,82,42.75
2025/8/17,0,70,16,86,43
2025/8/18,0,68,10,91,42.25
2025/8/19,0,65,14,61,35
2025/8/20,0,76,0,52,32
2025/8/21,0,81,0,44,31.25
2025/8/22,0,75,11,47,33.25
2025/8/23,0,67,10,62,34.75
2025/8/24,0,70,22,68,40
2025/8/25,0,62,10,68,35
2025/8/26,0,78,12,63,38.25
2025/8/27,0,88,13,55,39
2025/8/28,0,99,17,66,45.5
2025/8/29,0,84,9,71,41
2025/8/30,0,80,12,84,44
2025/8/31,0,80,14,75,42.25
2025/9/1,0,84,15,80,44.75
2025/9/2,0,79,13,94,46.5
2025/9/3,0,90,16,75,45.25
2025/9/4,0,95,14,80,47.25
2025/9/5,0,88,13,62,40.75
2025/9/6,0,85,16,100,50.25
2025/9/7,0,89,17,88,48.5
2025/9/8,0,78,14,89,45.25
2025/9/9,0,69,15,90,43.5
2025/9/10,0,70,13,75,39.5
2025/9/11,0,72,9,49,32.5
2025/9/12,0,62,8,72,35.5
2025/9/13,0,60,16,83,39.75
2025/9/14,0,61,12,94,41.75
2025/9/15,0,55,7,72,33.5
2025/9/16,0,62,6,68,34
2025/9/17,0,66,9,58,33.25
2025/9/18,0,81,8,68,39.25
2025/9/19,0,85,7,66,39.5
2025/9/20,0,76,0,63,34.75
2025/9/21,0,81,10,81,43
2025/9/22,0,81,0,69,37.5
2025/9/23,0,80,8,68,39
2025/9/24,0,90,7,77,43.5
2025/9/25,0,100,7,62,42.25
2025/9/26,0,77,8,59,36
2025/9/27,0,80,8,60,37
2025/9/28,0,79,8,67,38.5
2025/9/29,0,93,11,70,43.5
2025/9/30,0,74,0,60,33.5
2025/10/1,0,77,0,56,33.25
2025/10/2,0,71,0,57,32
2025/10/3,0,71,7,49,31.75
2025/10/4,0,69,0,42,27.75
2025/10/5,0,75,9,43,31.75
2025/10/6,0,68,0,42,27.5
2025/10/7,0,84,19,50,38.25
2025/10/8,0,79,9,55,35.75
2025/10/9,0,92,0,49,35.25
2025/10/10,0,69,8,54,32.75
2025/10/11,0,80,0,65,36.25
2025/10/12,0,68,7,60,33.75
2025/10/13,0,71,9,62,35.5
2025/10/14,0,73,6,49,32
2025/10/15,0,76,0,49,31.25
2025/10/16,0,64,11,65,35
2025/10/17,8,66,0,58,33
2025/10/18,0,73,0,60,33.25
2025/10/19,0,69,8,46,30.75
2025/10/20,0,75,8,49,33
2025/10/21,0,75,8,58,35.25
2025/10/22,0,81,0,66,36.75
2025/10/23,0,69,0,57,31.5
2025/10/24,0,55,0,68,30.75
2025/10/25,0,75,15,82,43
2025/10/26,0,72,10,47,32.25
2025/10/27,0,66,7,45,29.5
2025/10/28,0,70,0,64,33.5
2025/10/29,0,77,0,55,33
2025/10/30,1,40,1,4,11.5
2025/10/31,<1,42,1,4,11.75
2025/11/1,1,38,2,5,11.5
2025/11/2,1,41,2,5,12.25
2025/11/3,1,41,1,5,12
2025/11/4,1,43,1,4,12.25
2025/11/5,0,48,2,4,13.5
2025/11/6,1,49,1,4,13.75
2025/11/7,1,50,1,4,14
2025/11/8,1,53,2,5,15.25
2025/11/9,0,45,2,4,12.75
2025/11/10,1,44,2,5,13
2025/11/11,1,43,2,5,12.75
2025/11/12,0,48,1,5,13.5
2025/11/13,0,50,3,9,15.5
