date,︽笆筿方 基,best value power bank,power bank price,budget power bank,︽笆筿方 キ基,total
2020/11/15,0,0,19,0,0,3.8
2020/11/22,0,0,23,0,0,4.6
2020/11/29,0,0,25,0,0,5
2020/12/6,0,0,33,0,0,6.6
2020/12/13,0,0,31,<1,0,6.2
2020/12/20,0,0,27,0,0,5.4
2020/12/27,0,0,27,0,0,5.4
2021/1/3,0,0,29,0,0,5.8
2021/1/10,0,0,26,0,0,5.2
2021/1/17,0,<1,23,0,0,4.6
2021/1/24,0,0,22,0,0,4.4
2021/1/31,0,0,30,<1,0,6
2021/2/7,0,0,25,0,0,5
2021/2/14,0,0,26,0,0,5.2
2021/2/21,0,0,27,0,0,5.4
2021/2/28,0,0,33,0,0,6.6
2021/3/7,0,0,31,0,0,6.2
2021/3/14,0,0,34,0,0,6.8
2021/3/21,0,0,33,0,0,6.6
2021/3/28,0,0,26,0,0,5.2
2021/4/4,0,0,33,0,0,6.6
2021/4/11,0,0,25,0,0,5
2021/4/18,0,0,22,0,0,4.4
2021/4/25,0,0,25,0,0,5
2021/5/2,0,0,26,0,0,5.2
2021/5/9,0,0,31,<1,0,6.2
2021/5/16,0,0,34,0,0,6.8
2021/5/23,0,0,37,0,0,7.4
2021/5/30,0,0,37,0,0,7.4
2021/6/6,0,0,61,0,0,12.2
2021/6/13,0,0,58,0,0,11.6
2021/6/20,0,0,56,<1,0,11.2
2021/6/27,0,0,49,0,0,9.8
2021/7/4,0,0,45,0,0,9
2021/7/11,0,0,40,0,0,8
2021/7/18,0,0,36,<1,0,7.2
2021/7/25,0,0,38,0,0,7.6
2021/8/1,0,0,43,0,0,8.6
2021/8/8,0,0,38,0,0,7.6
2021/8/15,0,0,30,0,0,6
2021/8/22,0,0,28,0,0,5.6
2021/8/29,0,0,37,0,0,7.4
2021/9/5,0,0,31,0,0,6.2
2021/9/12,0,0,41,0,0,8.2
2021/9/19,0,0,37,0,0,7.4
2021/9/26,0,0,40,0,0,8
2021/10/3,0,0,48,0,0,9.6
2021/10/10,0,0,49,0,0,9.8
2021/10/17,0,0,70,0,0,14
2021/10/24,0,0,63,0,0,12.6
2021/10/31,0,0,38,0,0,7.6
2021/11/7,0,0,54,<1,0,10.8
2021/11/14,<1,0,39,<1,0,7.8
2021/11/21,0,0,43,0,0,8.6
2021/11/28,0,0,43,<1,0,8.6
2021/12/5,0,0,44,<1,0,8.8
2021/12/12,0,0,45,0,0,9
2021/12/19,0,0,44,0,0,8.8
2021/12/26,0,0,45,0,0,9
2022/1/2,0,0,42,0,0,8.4
2022/1/9,0,0,39,0,0,7.8
2022/1/16,0,0,37,<1,0,7.4
2022/1/23,0,0,42,<1,0,8.4
2022/1/30,0,0,48,<1,0,9.6
2022/2/6,0,0,48,0,0,9.6
2022/2/13,0,0,50,<1,0,10
2022/2/20,0,<1,45,<1,0,9
2022/2/27,0,0,36,<1,0,7.2
2022/3/6,<1,0,42,<1,0,8.4
2022/3/13,0,0,30,<1,0,6
2022/3/20,0,0,33,<1,0,6.6
2022/3/27,0,0,40,<1,0,8
2022/4/3,0,0,60,<1,0,12
2022/4/10,0,0,36,<1,0,7.2
2022/4/17,0,<1,50,<1,0,10
2022/4/24,0,0,42,<1,0,8.4
2022/5/1,0,0,39,<1,0,7.8
2022/5/8,0,0,48,<1,0,9.6
2022/5/15,0,<1,44,<1,0,8.8
2022/5/22,0,0,42,<1,0,8.4
2022/5/29,0,0,38,<1,0,7.6
2022/6/5,0,0,36,0,0,7.2
2022/6/12,0,0,37,0,0,7.4
2022/6/19,0,0,36,<1,0,7.2
2022/6/26,0,0,29,0,0,5.8
2022/7/3,0,0,31,0,0,6.2
2022/7/10,0,0,33,<1,0,6.6
2022/7/17,0,0,37,0,0,7.4
2022/7/24,0,0,39,<1,0,7.8
2022/7/31,0,0,49,<1,0,9.8
2022/8/7,0,0,41,<1,0,8.2
2022/8/14,0,0,40,<1,0,8
2022/8/21,0,<1,49,<1,0,9.8
2022/8/28,0,0,44,<1,0,8.8
2022/9/4,0,0,53,<1,0,10.6
2022/9/11,0,0,50,<1,0,10
2022/9/18,0,0,46,<1,0,9.2
2022/9/25,0,0,41,<1,0,8.2
2022/10/2,0,<1,34,<1,0,6.8
2022/10/9,0,0,39,<1,0,7.8
2022/10/16,0,0,36,0,0,7.2
2022/10/23,0,<1,28,<1,0,5.6
2022/10/30,<1,0,40,<1,0,8
2022/11/6,0,0,36,0,0,7.2
2022/11/13,0,0,36,<1,0,7.2
2022/11/20,0,0,36,<1,0,7.2
2022/11/27,0,0,36,<1,0,7.2
2022/12/4,0,0,38,<1,0,7.6
2022/12/11,0,0,52,<1,0,10.4
2022/12/18,0,0,50,0,0,10
2022/12/25,0,0,56,0,0,11.2
2023/1/1,0,0,47,<1,0,9.4
2023/1/8,0,0,38,0,0,7.6
2023/1/15,0,0,38,0,0,7.6
2023/1/22,0,0,40,<1,0,8
2023/1/29,0,0,62,1,0,12.6
